    Merit  Class Insured Premium Claims  Cost
1  Merit3 Class1 2757520  159108 217151 63191
2  Merit3 Class2  130535    7175  14506  4598
3  Merit3 Class3  247424   15663  31964  9589
4  Merit3 Class4  156871    7694  22884  7964
5  Merit3 Class5   64130    3241   6560  1752
6  Merit2 Class1  130706    7910  13792  4055
7  Merit2 Class2    7233     431   1001   380
8  Merit2 Class3   15868    1080   2695   701
9  Merit2 Class4   17707     888   3054   983
10 Merit2 Class5    4039     209    487   114
11 Merit1 Class1  163544    9862  19346  5552
12 Merit1 Class2    9726     572   1430   439
13 Merit1 Class3   20369    1382   3546  1011
14 Merit1 Class4   21089    1052   3618  1281
15 Merit1 Class5    4869     250    613   178
16 Merit0 Class1  273944   17226  37730 11809
17 Merit0 Class2   21504    1207   3421  1088
18 Merit0 Class3   37666    2502   7565  2383
19 Merit0 Class4   56730    2756  11345  3971
20 Merit0 Class5    8601     461   1291   382
