Gender Weight Height  HC
     F    117     50 -13
     F    125     60  -3
     F    133     64   1
     F    141     68   5
     F    149     72   9
     F    109     54  -9
     F    128     62  -1
     F    131     65   2
     F    131     65   2
     F    145     70   7
     M    211     64  -8
     M    223     68  -4
     M    235     73   1
     M    247     76   4
     M    259     79   7
     M    201     62 -10
     M    228     69  -3
     M    245     74   2
     M    241     75   3
     M    269     80   8
 
