  H1   H2   H3   E1
 29.0 20.0 19.5 15.5
 27.0 19.5 19.5 14.0
 29.0 19.5 18.0  9.0
 29.5 18.0 17.0 16.5
 27.0  5.0 15.0  6.5
 29.5 20.0 19.0 14.0
 28.0 20.0 20.0 18.5
 28.0 19.5 17.0 11.5
 30.0 20.0 19.5  5.0
 29.5 20.0 20.0 20.0
 29.5 20.0 20.0 18.0
 28.0 19.5 20.0 16.0
 29.5 18.5 19.0 17.5
 28.0 20.0 19.5 17.5
 30.0 18.0 18.5  8.0
 30.0 19.0 17.0 11.0
 29.5 20.0 20.0 10.5
 30.0 20.0 20.0 13.5
 30.0 19.0 20.0  9.5
 27.0 18.0 16.0 18.0
 27.0 14.5 14.0  8.0
 27.0 19.5 19.0 14.0
 27.0 20.0 20.0 16.5
 30.0 20.0 20.0 16.5
 30.0 20.0 19.5 14.5
 29.5 20.0 19.5 20.0
 30.0 19.0 20.0 20.0
