   RATE LEN ADT TRKS SLIM LWID SHLD ITG SIGS ACPT LANE FAI PA MA
01 4.58  4.99 69  8 55 12 10 1.20  .00  4.6 8 1 0 0
02 2.86 16.11 73  8 60 12 10 1.43  .00  4.4 4 1 0 0
03 3.02  9.75 49 10 60 12 10 1.54  .00  4.7 4 1 0 0
04 2.29 10.65 61 13 65 12 10  .94  .00  3.8 6 1 0 0
05 1.61 20.01 28 12 70 12 10  .65  .00  2.2 4 1 0 0
06 6.87  5.97 30  6 55 12 10  .34 1.84 24.8 4 0 1 0
07 3.85  8.57 46  8 55 12  8  .47  .70 11.0 4 0 1 0
08 6.12  5.24 25  9 55 12 10  .38  .38 18.5 4 0 1 0
09 3.29 15.79 43 12 50 12  4  .95 1.39  7.5 4 0 1 0
10 5.88  8.26 23  7 50 12  5  .12 1.21  8.2 4 0 1 0
11 4.20  7.03 23  6 60 12 10  .29 1.85  5.4 4 0 1 0
12 4.61 13.28 20  9 50 12  2  .15 1.21 11.2 4 0 1 0
13 4.80  5.40 18 14 50 12  8  .00  .56 15.2 2 0 1 0
14 3.85  2.96 21  8 60 12 10  .34  .00  5.4 4 0 1 0
15 2.69 11.75 27  7 55 12 10  .26  .60  7.9 4 0 1 0
16 1.99  8.86 22  9 60 12 10  .68  .00  3.2 4 0 1 0
17 2.01  9.78 19  9 60 12 10  .20  .10 11.0 4 0 1 0
18 4.22  5.49  9 11 50 12  6  .18  .18  8.9 2 0 1 0
19 2.76  8.63 12  8 55 13  6  .14  .00 12.4 2 0 1 0
20 2.55 20.31 12  7 60 12 10  .05  .99  7.8 4 0 1 0
21 1.89 40.09 15 13 55 12  8  .05  .12  9.6 4 0 1 0
22 2.34 11.81  8  8 60 12 10  .00  .00  4.3 2 0 1 0
23 2.83 11.39  5  9 50 12  8  .00  .09 11.1 2 0 1 0
24 1.81 22.00  5 15 60 12  7  .00  .00  6.8 2 0 1 0
25 9.23  3.58 23  6 40 12  2  .56 2.51 53.0 4 0 0 1
26 8.60  3.23 13  6 45 12  2  .31  .93 17.3 2 0 0 1
27 8.21  7.73  7  8 55 12  8  .13  .52 27.3 2 0 0 1
28 2.93 14.41 10 10 55 12  6  .00  .07 18.0 2 0 0 1
29 7.48 11.54 12  7 45 12  3  .09  .09 30.2 2 0 0 1
30 2.57 11.10  9  8 60 12  7  .00  .00 10.3 2 0 0 1
31 5.77 22.09  4  8 45 11  3  .00  .14 18.2 2 0 0 1
32 2.90  9.39  5 10 55 13  1  .00  .00 12.3 2 0 0 1
33 2.97 19.49  4 13 55 12  4  .00  .00  7.1 2 0 0 1
34 1.84 21.01  5 12 55 10  8  .00  .10 14.0 2 0 0 1
35 3.78 27.16  2 10 55 12  3  .04  .04 11.3 2 0 0 1
36 2.76 14.03  3  8 50 12  4  .07  .00 16.3 2 0 0 1
37 4.27 20.63  1 11 55 11  4  .00  .00  9.6 2 0 0 1
38 3.05 20.06  3 11 60 12  8  .00  .00  9.0 2 0 0 0
39 4.12 12.91  1 10 55 12  3  .00  .00 10.4 2 0 0 0
